PID,Name,Title,Journal,Volume,Issue,StartPage,EndPage,Year,DOI,NumberOfAuthors
1753091,"Abraham, Getahun Yacob, 0000-0002-4817-0135, (Högskolan i Borås, Sweden)","Multidimensional Role of Teachers as Pedagogues, Intellectuals and Activists for Promoting Social Justice through Education",Journal of Education and Culture Studies,7,2,52,65,2023,10.22158/jecs.v7n2p52,1
1792248,"Andersson, Marica, , (University of Gothenburg, Sweden);Svensson, Ola, 0000-0003-3752-3131, (Högskolan i Borås, Sweden)(University of Gothenburg, Sweden);Swartz, Terese, , (Universeum, Sweden);Manera, Jack L., , (Monash University, Australia);Bertram, Michael G., , (Monash University, Australia)(Swedish University of Agricultural Sciences, Sweden)(Stockholm University, Sweden);Blom, Eva-Lotta, 0000-0002-8839-4141, (Swedish University of Agricultural Sciences, Sweden)",Increased noise levels cause behavioural and distributional changes in Atlantic cod and saithe in a large public aquarium—A case study,"Aquaculture, Fish and Fisheries",,,,,2023,10.1002/aff2.128,6
1787167,"Andersson, Ulf, 0000-0002-1789-8158, (Högskolan i Borås, Sweden);Maurin Söderholm, Hanna, 0000-0003-0279-8987, (Högskolan i Borås, Sweden)(Lindholmen Science Park, Sweden);Andersson, Henrik, 0000-0002-3308-7304, (Högskolan i Borås, Sweden)(Linnaeus University, Sweden);Wireklint Sundström, Birgitta, 0000-0001-8536-1910, (Högskolan i Borås, Sweden);Andersson Hagiwara, Magnus, 0000-0002-6888-9323, (Högskolan i Borås, Sweden);Puaca, Goran, , (Högskolan i Borås, Sweden)",Organizational factors influencing clinical reasoning in a Swedish emergency medical service organization: An explorative qualitative case study,Paramedicine,,,,,2023,10.1177/27536386231189011,6
1815331,"Andersson, Ulf, 0000-0002-1789-8158, (Högskolan i Borås, Sweden);Maurin Söderholm, Hanna, 0000-0003-0279-8987, (Högskolan i Borås, Sweden)(Lindholmen Science Park, Sweden);Andersson Hagiwara, Magnus, 0000-0002-6888-9323, (Högskolan i Borås, Sweden);Andersson, Henrik,  0000-0002-3308-7304, (Högskolan i Borås, Sweden)(Linnaeus University, Sweden)",Situation awareness in Sweden’s emergency medical services : a goal-directed task analysis,Discover Health Systems,2,,,,2023,10.1007/s44250-023-00061-7,4
1783029,"Angervall, Petra, 0000-0003-2425-2088, (Högskolan i Borås, Sweden);Hammarfelt, Björn, 0000-0002-1504-8395, (Högskolan i Borås, Sweden)","Academic Career Mobility: Career Advancement, Transnational Mobility and Gender Equity",Higher Education Policy,,,,,2023,10.1057/s41307-023-00322-3,2
1825046,"Beach, Dennis, 0000-0001-5970-5556, (Högskolan i Borås, Sweden)(University of Gothenburg, Sweden);Öhrn, Elisabet, 0000-0002-2502-3124, (University of Gothenburg, Sweden)",The community function of schools in rural areas: normalising dominant cultural relations through the curriculum silencing local knowledge,"Pedagogy, Culture & Society",,,,,2023,10.1080/14681366.2023.2298466,2
1795409,"Beach, Dennis, 0000-0001-5970-5556, (Högskolan i Borås, Sweden)(University of Gothenburg, Sweden)",Researching for justice: using meta-ethnographic synthesis to develop knowledge for research for social transformation,Ethnography and Education,,,1,17,2023,10.1080/17457823.2023.2252545,1
1822354,"Bellido, Jose, 0000-0001-9323-6052, (University of Kent, United Kingdom);Hammarfelt, Björn, 0000-0002-1504-8395, (Högskolan i Borås, Sweden)",‘A very good field in which to operate’: patent literature and the post-war information industry,Library and Information History,39,3,147,169,2023,10.3366/lih.2023.0155,2
1592135,"Bolaños, Fernando, 0000-0003-0873-6672, (Pontificia Universidad Católica De Chile, Chile);Pilerot, Ola, 0000-0002-8636-9241, (Högskolan i Borås, Sweden)","Digital abilities, between instrumentalization and empowerment : a discourse analysis of Chilean Secondary Technical and Vocational public policy documents",Journal of Vocational Education and Training,75,4,768,787,2023,10.1080/13636820.2021.1973542,2
1733772,"Bolaños, Fernando, 0000-0003-0873-6672, (Universidad de Chile, Chile);Pilerot, Ola, 0000-0002-8636-9241, (Högskolan i Borås, Sweden)",Where are digital abilities within Chile’s State technical formation centres? A discourse analysis of public policy,Journal of Vocational Education and Training,,,1,21,2023,10.1080/13636820.2022.2161407,2
1644840,"Bolaños, Fernando, 0000-0003-0873-6672, (Pontificia Universidad Católica de Chile, Chile);Salinas, Alvaro, 0000-0001-9655-761X, (Pontificia Universidad Católica de Chile, Chile);Pilerot, Ola, 0000-0002-8636-9241, (Högskolan i Borås, Sweden)",Instructional techniques and tools reported as being used by teachers within empirical research focusing on in-class digital ability development: a literature review,Journal of Computers in Education,10,,57,81,2023,10.1007/s40692-022-00222-2,3
1787844,"Buskqvist, Ulf, 0000-0002-4092-131X, (Karlstad University, Sweden);Johansson, Emelie, 0000-0003-0827-9715, (Karlstad University, Sweden);Hermansson, Carina, 0000-0002-7357-0122, (Högskolan i Borås, Sweden)",Inbetween Literacy Desirings and Following Commands : Rethinking Digitalization in Swedish Early Childhood Education,Nordic Journal of Studies in Educational Policy,9,2,210,220,2023,10.1080/20020317.2023.2229021,3
1788992,"da Silva, Madalena, 0000-0002-8886-2822, (Universidade do Planalto Catarinense, Brazil);Bonin, Joel Cezar, 0000-0003-0437-7609, (Universidade Alto Vale do Rio do Peixe, Brazil);Garrote Jurado, Ramón, 0000-0002-3971-9894, (Högskolan i Borås, Sweden)",Elementos da cultura digital para o ensino de filosofia no Ensino Médio: o que dizem as pesquisas? : Elements Of Digital Culture For Teaching Philosophy In Highschool: What Does The Research Say?,Educação em Análise,8,1,,,2023,10.5433/1984-7939.2023v8n1p62,3
1771987,"Dehdarirad, Tahereh, 0000-0003-2529-962X, (Chalmers University of Technology, Sweden);Schirone, Marco, 0000-0002-4166-153X, (Högskolan i Borås, Sweden)",Use of positive terms and certainty language in retracted and non-retracted articles: The case of biochemistry,Journal of information science,,,,,2023,10.1177/01655515231176650,2
